"state","year","unemployment_rate"
"Alaska",1976,7.56666666666667
"Alaska",1977,9.89166666666667
"Alaska",1978,10.6333333333333
"Alaska",1979,9.05833333333333
"Alaska",1980,9.53333333333333
"Alaska",1981,9.18333333333333
"Alaska",1982,10.0583333333333
"Alaska",1983,10.1
"Alaska",1984,9.89166666666667
"Alaska",1985,9.84166666666667
"Alaska",1986,11.1
"Alaska",1987,10.1416666666667
"Alaska",1988,8.73333333333333
"Alaska",1989,7.1
"Alaska",1990,7.25833333333333
"Alaska",1991,8.34166666666667
"Alaska",1992,8.85833333333333
"Alaska",1993,7.8
"Alaska",1994,7.61666666666667
"Alaska",1995,7.325
"Alaska",1996,7.425
"Alaska",1997,6.93333333333333
"Alaska",1998,6.325
"Alaska",1999,6.40833333333333
"Alaska",2000,6.31666666666667
"Alaska",2001,6.28333333333333
"Alaska",2002,7.16666666666667
"Alaska",2003,7.68333333333333
"Alaska",2004,7.41666666666667
"Alaska",2005,6.93333333333333
"Alaska",2006,6.63333333333333
"Alaska",2007,6.25833333333333
"Alaska",2008,6.475
"Alaska",2009,7.98333333333333
"Alaska",2010,8.13333333333333
"Alaska",2011,7.73333333333333
"Alaska",2012,7.25
"Alaska",2013,6.99166666666667
"Alaska",2014,6.74166666666667
"Alaska",2015,6.275
"Alaska",2016,6.6
"Alaska",2017,6.50833333333333
"Alaska",2018,6.04166666666667
"Alaska",2019,5.60833333333333
"Alaska",2020,8.35
"Alaska",2021,6.38333333333333
"Alaska",2022,4.23333333333333
"Alaska",2023,4.21666666666667
"Alaska",2024,4.56
"Alabama",1976,6.7
"Alabama",1977,7.15
"Alabama",1978,6.40833333333333
"Alabama",1979,7.225
"Alabama",1980,8.81666666666667
"Alabama",1981,10.6916666666667
"Alabama",1982,13.95
"Alabama",1983,13.8166666666667
"Alabama",1984,11.2833333333333
"Alabama",1985,9.54166666666667
"Alabama",1986,9.56666666666667
"Alabama",1987,8.18333333333333
"Alabama",1988,7.275
"Alabama",1989,7
"Alabama",1990,6.825
"Alabama",1991,7.325
"Alabama",1992,7.525
"Alabama",1993,7.24166666666667
"Alabama",1994,6.175
"Alabama",1995,5.83333333333333
"Alabama",1996,5.20833333333333
"Alabama",1997,4.93333333333333
"Alabama",1998,4.45833333333333
"Alabama",1999,4.725
"Alabama",2000,4.625
"Alabama",2001,5.18333333333333
"Alabama",2002,5.925
"Alabama",2003,5.98333333333333
"Alabama",2004,5.575
"Alabama",2005,4.45833333333333
"Alabama",2006,4
"Alabama",2007,4.04166666666667
"Alabama",2008,5.88333333333333
"Alabama",2009,10.0833333333333
"Alabama",2010,10.375
"Alabama",2011,9.58333333333333
"Alabama",2012,8.15833333333333
"Alabama",2013,7.325
"Alabama",2014,6.73333333333333
"Alabama",2015,6.125
"Alabama",2016,5.90833333333333
"Alabama",2017,4.50833333333333
"Alabama",2018,3.94166666666667
"Alabama",2019,3.18333333333333
"Alabama",2020,6.40833333333333
"Alabama",2021,3.375
"Alabama",2022,2.51666666666667
"Alabama",2023,2.49166666666667
"Alabama",2024,2.93
"Arkansas",1976,6.91666666666667
"Arkansas",1977,6.475
"Arkansas",1978,6.225
"Arkansas",1979,6.28333333333333
"Arkansas",1980,7.53333333333333
"Arkansas",1981,8.6
"Arkansas",1982,9.46666666666667
"Arkansas",1983,9.7
"Arkansas",1984,8.53333333333333
"Arkansas",1985,8.49166666666667
"Arkansas",1986,8.54166666666667
"Arkansas",1987,8.14166666666667
"Arkansas",1988,7.7
"Arkansas",1989,7.04166666666667
"Arkansas",1990,6.875
"Arkansas",1991,7.30833333333333
"Arkansas",1992,7
"Arkansas",1993,6.13333333333333
"Arkansas",1994,5.44166666666667
"Arkansas",1995,4.86666666666667
"Arkansas",1996,5.16666666666667
"Arkansas",1997,5.10833333333333
"Arkansas",1998,5.05
"Arkansas",1999,4.53333333333333
"Arkansas",2000,4.175
"Arkansas",2001,4.75833333333333
"Arkansas",2002,5.33333333333333
"Arkansas",2003,5.75833333333333
"Arkansas",2004,5.58333333333333
"Arkansas",2005,5.25833333333333
"Arkansas",2006,5.25
"Arkansas",2007,5.39166666666667
"Arkansas",2008,5.44166666666667
"Arkansas",2009,7.725
"Arkansas",2010,7.85833333333333
"Arkansas",2011,7.90833333333333
"Arkansas",2012,7.26666666666667
"Arkansas",2013,7.04166666666667
"Arkansas",2014,5.9
"Arkansas",2015,4.95
"Arkansas",2016,3.98333333333333
"Arkansas",2017,3.74166666666667
"Arkansas",2018,3.65833333333333
"Arkansas",2019,3.49166666666667
"Arkansas",2020,6.18333333333333
"Arkansas",2021,4.04166666666667
"Arkansas",2022,3.20833333333333
"Arkansas",2023,3.225
"Arkansas",2024,3.41
"Arizona",1976,9.75833333333333
"Arizona",1977,8.4
"Arizona",1978,5.95
"Arizona",1979,5.075
"Arizona",1980,6.60833333333333
"Arizona",1981,6.19166666666667
"Arizona",1982,9.95833333333333
"Arizona",1983,9.10833333333333
"Arizona",1984,4.95833333333333
"Arizona",1985,6.35833333333333
"Arizona",1986,7.05
"Arizona",1987,6.50833333333333
"Arizona",1988,6.40833333333333
"Arizona",1989,5.24166666666667
"Arizona",1990,5.21666666666667
"Arizona",1991,5.85833333333333
"Arizona",1992,7.56666666666667
"Arizona",1993,6.36666666666667
"Arizona",1994,6.19166666666667
"Arizona",1995,5.3
"Arizona",1996,5.49166666666667
"Arizona",1997,4.625
"Arizona",1998,4.275
"Arizona",1999,4.45833333333333
"Arizona",2000,3.98333333333333
"Arizona",2001,4.725
"Arizona",2002,6.14166666666667
"Arizona",2003,5.78333333333333
"Arizona",2004,4.96666666666667
"Arizona",2005,4.66666666666667
"Arizona",2006,4.30833333333333
"Arizona",2007,3.75
"Arizona",2008,5.79166666666667
"Arizona",2009,9.66666666666667
"Arizona",2010,10.3
"Arizona",2011,9.43333333333333
"Arizona",2012,8.35
"Arizona",2013,7.81666666666667
"Arizona",2014,6.79166666666667
"Arizona",2015,6.075
"Arizona",2016,5.48333333333333
"Arizona",2017,4.975
"Arizona",2018,4.80833333333333
"Arizona",2019,4.80833333333333
"Arizona",2020,7.825
"Arizona",2021,5.06666666666667
"Arizona",2022,3.775
"Arizona",2023,3.90833333333333
"Arizona",2024,3.63
"California",1976,9.15
"California",1977,8.39166666666667
"California",1978,7.13333333333333
"California",1979,6.21666666666667
"California",1980,6.9
"California",1981,7.43333333333333
"California",1982,10.0583333333333
"California",1983,9.825
"California",1984,7.75833333333333
"California",1985,7.18333333333333
"California",1986,6.76666666666667
"California",1987,5.825
"California",1988,5.275
"California",1989,5.09166666666667
"California",1990,5.79166666666667
"California",1991,7.825
"California",1992,9.35
"California",1993,9.53333333333333
"California",1994,8.65
"California",1995,7.89166666666667
"California",1996,7.35
"California",1997,6.40833333333333
"California",1998,5.93333333333333
"California",1999,5.26666666666667
"California",2000,4.925
"California",2001,5.46666666666667
"California",2002,6.75833333333333
"California",2003,6.89166666666667
"California",2004,6.21666666666667
"California",2005,5.38333333333333
"California",2006,4.91666666666667
"California",2007,5.30833333333333
"California",2008,7.3
"California",2009,11.5416666666667
"California",2010,12.4583333333333
"California",2011,11.8916666666667
"California",2012,10.525
"California",2013,9.03333333333333
"California",2014,7.56666666666667
"California",2015,6.225
"California",2016,5.51666666666667
"California",2017,4.83333333333333
"California",2018,4.25833333333333
"California",2019,4.1
"California",2020,10.1916666666667
"California",2021,7.325
"California",2022,4.275
"California",2023,4.74166666666667
"California",2024,5.27
"Colorado",1976,5.91666666666667
"Colorado",1977,6.35
"Colorado",1978,5.55833333333333
"Colorado",1979,4.61666666666667
"Colorado",1980,5.88333333333333
"Colorado",1981,5.64166666666667
"Colorado",1982,7.60833333333333
"Colorado",1983,7.11666666666667
"Colorado",1984,5.49166666666667
"Colorado",1985,5.98333333333333
"Colorado",1986,7.51666666666667
"Colorado",1987,7.54166666666667
"Colorado",1988,6.41666666666667
"Colorado",1989,5.58333333333333
"Colorado",1990,5.13333333333333
"Colorado",1991,5.28333333333333
"Colorado",1992,6.09166666666667
"Colorado",1993,5.38333333333333
"Colorado",1994,4.14166666666667
"Colorado",1995,4.025
"Colorado",1996,4.16666666666667
"Colorado",1997,3.35833333333333
"Colorado",1998,3.61666666666667
"Colorado",1999,3.01666666666667
"Colorado",2000,2.74166666666667
"Colorado",2001,3.81666666666667
"Colorado",2002,5.68333333333333
"Colorado",2003,6.10833333333333
"Colorado",2004,5.56666666666667
"Colorado",2005,5.075
"Colorado",2006,4.275
"Colorado",2007,3.7
"Colorado",2008,4.875
"Colorado",2009,7.875
"Colorado",2010,9.14166666666667
"Colorado",2011,8.69166666666667
"Colorado",2012,8
"Colorado",2013,6.75
"Colorado",2014,4.98333333333333
"Colorado",2015,3.74166666666667
"Colorado",2016,3.13333333333333
"Colorado",2017,2.60833333333333
"Colorado",2018,3.05
"Colorado",2019,2.66666666666667
"Colorado",2020,6.78333333333333
"Colorado",2021,5.48333333333333
"Colorado",2022,3.06666666666667
"Colorado",2023,3.15
"Colorado",2024,3.79
"Connecticut",1976,9.175
"Connecticut",1977,6.99166666666667
"Connecticut",1978,5.29166666666667
"Connecticut",1979,5.08333333333333
"Connecticut",1980,5.66666666666667
"Connecticut",1981,6.2
"Connecticut",1982,6.85833333333333
"Connecticut",1983,6.00833333333333
"Connecticut",1984,4.65
"Connecticut",1985,4.39166666666667
"Connecticut",1986,3.75833333333333
"Connecticut",1987,3.13333333333333
"Connecticut",1988,2.875
"Connecticut",1989,3.6
"Connecticut",1990,4.93333333333333
"Connecticut",1991,6.55
"Connecticut",1992,7.33333333333333
"Connecticut",1993,6.48333333333333
"Connecticut",1994,5.54166666666667
"Connecticut",1995,5.30833333333333
"Connecticut",1996,5.2
"Connecticut",1997,4.68333333333333
"Connecticut",1998,3.24166666666667
"Connecticut",1999,2.45833333333333
"Connecticut",2000,2.10833333333333
"Connecticut",2001,2.875
"Connecticut",2002,4.4
"Connecticut",2003,5.45
"Connecticut",2004,5.09166666666667
"Connecticut",2005,4.8
"Connecticut",2006,4.425
"Connecticut",2007,4.45
"Connecticut",2008,5.65
"Connecticut",2009,8.325
"Connecticut",2010,9.55833333333333
"Connecticut",2011,9.01666666666667
"Connecticut",2012,8.35833333333333
"Connecticut",2013,7.95
"Connecticut",2014,6.61666666666667
"Connecticut",2015,5.61666666666667
"Connecticut",2016,4.86666666666667
"Connecticut",2017,4.41666666666667
"Connecticut",2018,3.88333333333333
"Connecticut",2019,3.59166666666667
"Connecticut",2020,8
"Connecticut",2021,6.38333333333333
"Connecticut",2022,4.09166666666667
"Connecticut",2023,3.70833333333333
"Connecticut",2024,3.92
"District of Columbia",1976,8.61666666666667
"District of Columbia",1977,8.625
"District of Columbia",1978,7.79166666666667
"District of Columbia",1979,6.84166666666667
"District of Columbia",1980,7.43333333333333
"District of Columbia",1981,8.68333333333333
"District of Columbia",1982,10.3416666666667
"District of Columbia",1983,10.9
"District of Columbia",1984,8.88333333333333
"District of Columbia",1985,7.96666666666667
"District of Columbia",1986,7.36666666666667
"District of Columbia",1987,6.26666666666667
"District of Columbia",1988,5.025
"District of Columbia",1989,4.80833333333333
"District of Columbia",1990,5.89166666666667
"District of Columbia",1991,7.7
"District of Columbia",1992,8.58333333333333
"District of Columbia",1993,8.4
"District of Columbia",1994,7.93333333333333
"District of Columbia",1995,8.60833333333333
"District of Columbia",1996,8.425
"District of Columbia",1997,8.14166666666667
"District of Columbia",1998,8.31666666666667
"District of Columbia",1999,6.575
"District of Columbia",2000,5.69166666666667
"District of Columbia",2001,6.46666666666667
"District of Columbia",2002,6.98333333333333
"District of Columbia",2003,7.275
"District of Columbia",2004,8.08333333333333
"District of Columbia",2005,6.99166666666667
"District of Columbia",2006,6.325
"District of Columbia",2007,5.95
"District of Columbia",2008,6.85
"District of Columbia",2009,10
"District of Columbia",2010,9.95
"District of Columbia",2011,10.1916666666667
"District of Columbia",2012,8.975
"District of Columbia",2013,8.43333333333333
"District of Columbia",2014,7.70833333333333
"District of Columbia",2015,6.91666666666667
"District of Columbia",2016,6.23333333333333
"District of Columbia",2017,6.1
"District of Columbia",2018,5.68333333333333
"District of Columbia",2019,5.5
"District of Columbia",2020,7.89166666666667
"District of Columbia",2021,6.875
"District of Columbia",2022,4.75
"District of Columbia",2023,4.875
"District of Columbia",2024,5.38
"Delaware",1976,8.6
"Delaware",1977,8.18333333333333
"Delaware",1978,7.075
"Delaware",1979,6.975
"Delaware",1980,7.51666666666667
"Delaware",1981,7.78333333333333
"Delaware",1982,8.35833333333333
"Delaware",1983,7.9
"Delaware",1984,6.21666666666667
"Delaware",1985,5.15
"Delaware",1986,4.175
"Delaware",1987,3.03333333333333
"Delaware",1988,2.98333333333333
"Delaware",1989,3.30833333333333
"Delaware",1990,4.40833333333333
"Delaware",1991,5.91666666666667
"Delaware",1992,5.225
"Delaware",1993,4.90833333333333
"Delaware",1994,4.7
"Delaware",1995,4.26666666666667
"Delaware",1996,4.95
"Delaware",1997,4.00833333333333
"Delaware",1998,3.49166666666667
"Delaware",1999,3.28333333333333
"Delaware",2000,3.60833333333333
"Delaware",2001,3.575
"Delaware",2002,4.26666666666667
"Delaware",2003,4.46666666666667
"Delaware",2004,4.3
"Delaware",2005,4.50833333333333
"Delaware",2006,3.90833333333333
"Delaware",2007,3.60833333333333
"Delaware",2008,5.03333333333333
"Delaware",2009,8.34166666666667
"Delaware",2010,8.65833333333333
"Delaware",2011,7.60833333333333
"Delaware",2012,7.06666666666667
"Delaware",2013,6.60833333333333
"Delaware",2014,5.60833333333333
"Delaware",2015,4.79166666666667
"Delaware",2016,4.525
"Delaware",2017,4.46666666666667
"Delaware",2018,3.70833333333333
"Delaware",2019,3.55
"Delaware",2020,7.475
"Delaware",2021,5.475
"Delaware",2022,4.23333333333333
"Delaware",2023,3.98333333333333
"Delaware",2024,4.03
"Florida",1976,9.3
"Florida",1977,8.275
"Florida",1978,6.75833333333333
"Florida",1979,5.99166666666667
"Florida",1980,5.98333333333333
"Florida",1981,6.8
"Florida",1982,8.48333333333333
"Florida",1983,8.64166666666667
"Florida",1984,6.59166666666667
"Florida",1985,6.075
"Florida",1986,5.84166666666667
"Florida",1987,5.4
"Florida",1988,5.19166666666667
"Florida",1989,5.60833333333333
"Florida",1990,6.23333333333333
"Florida",1991,7.64166666666667
"Florida",1992,8.36666666666667
"Florida",1993,7.4
"Florida",1994,6.475
"Florida",1995,5.6
"Florida",1996,5.28333333333333
"Florida",1997,4.925
"Florida",1998,4.45
"Florida",1999,3.93333333333333
"Florida",2000,3.75833333333333
"Florida",2001,4.425
"Florida",2002,4.95833333333333
"Florida",2003,4.46666666666667
"Florida",2004,3.75
"Florida",2005,2.875
"Florida",2006,2.46666666666667
"Florida",2007,3.3
"Florida",2008,5.69166666666667
"Florida",2009,9.55833333333333
"Florida",2010,10.825
"Florida",2011,10
"Florida",2012,8.66666666666667
"Florida",2013,7.53333333333333
"Florida",2014,6.43333333333333
"Florida",2015,5.525
"Florida",2016,4.91666666666667
"Florida",2017,4.3
"Florida",2018,3.65
"Florida",2019,3.25
"Florida",2020,8.19166666666667
"Florida",2021,4.69166666666667
"Florida",2022,2.99166666666667
"Florida",2023,2.90833333333333
"Florida",2024,3.25
"Georgia",1976,8.15833333333333
"Georgia",1977,6.93333333333333
"Georgia",1978,5.69166666666667
"Georgia",1979,5.13333333333333
"Georgia",1980,6.30833333333333
"Georgia",1981,6.45
"Georgia",1982,7.8
"Georgia",1983,7.64166666666667
"Georgia",1984,6.1
"Georgia",1985,6.34166666666667
"Georgia",1986,5.91666666666667
"Georgia",1987,5.55833333333333
"Georgia",1988,5.61666666666667
"Georgia",1989,5.4
"Georgia",1990,5.35
"Georgia",1991,5.29166666666667
"Georgia",1992,6.58333333333333
"Georgia",1993,5.73333333333333
"Georgia",1994,5.05
"Georgia",1995,4.73333333333333
"Georgia",1996,4.60833333333333
"Georgia",1997,4.48333333333333
"Georgia",1998,4.18333333333333
"Georgia",1999,3.81666666666667
"Georgia",2000,3.53333333333333
"Georgia",2001,4.09166666666667
"Georgia",2002,5.30833333333333
"Georgia",2003,5.14166666666667
"Georgia",2004,5.08333333333333
"Georgia",2005,5.68333333333333
"Georgia",2006,5.075
"Georgia",2007,4.90833333333333
"Georgia",2008,6.78333333333333
"Georgia",2009,10.4083333333333
"Georgia",2010,10.6583333333333
"Georgia",2011,10.1583333333333
"Georgia",2012,9.04166666666667
"Georgia",2013,8.14166666666667
"Georgia",2014,7.14166666666667
"Georgia",2015,6.075
"Georgia",2016,5.46666666666667
"Georgia",2017,4.75833333333333
"Georgia",2018,4
"Georgia",2019,3.575
"Georgia",2020,6.5
"Georgia",2021,3.93333333333333
"Georgia",2022,3.14166666666667
"Georgia",2023,3.2
"Georgia",2024,3.31
"Hawaii",1976,9.2
"Hawaii",1977,7.61666666666667
"Hawaii",1978,6.94166666666667
"Hawaii",1979,5.725
"Hawaii",1980,4.975
"Hawaii",1981,5.175
"Hawaii",1982,6.11666666666667
"Hawaii",1983,5.9
"Hawaii",1984,5.45
"Hawaii",1985,5.225
"Hawaii",1986,4.675
"Hawaii",1987,3.7
"Hawaii",1988,3.075
"Hawaii",1989,2.475
"Hawaii",1990,2.6
"Hawaii",1991,2.79166666666667
"Hawaii",1992,4.14166666666667
"Hawaii",1993,4.38333333333333
"Hawaii",1994,5.175
"Hawaii",1995,5.525
"Hawaii",1996,5.91666666666667
"Hawaii",1997,5.925
"Hawaii",1998,5.825
"Hawaii",1999,5.19166666666667
"Hawaii",2000,4.25
"Hawaii",2001,4.275
"Hawaii",2002,4.05
"Hawaii",2003,3.90833333333333
"Hawaii",2004,3.29166666666667
"Hawaii",2005,2.825
"Hawaii",2006,2.55
"Hawaii",2007,2.725
"Hawaii",2008,4.03333333333333
"Hawaii",2009,6.65833333333333
"Hawaii",2010,6.825
"Hawaii",2011,6.83333333333333
"Hawaii",2012,5.9
"Hawaii",2013,4.75833333333333
"Hawaii",2014,4.23333333333333
"Hawaii",2015,3.41666666666667
"Hawaii",2016,2.89166666666667
"Hawaii",2017,2.21666666666667
"Hawaii",2018,2.40833333333333
"Hawaii",2019,2.51666666666667
"Hawaii",2020,11.7916666666667
"Hawaii",2021,5.95833333333333
"Hawaii",2022,3.25833333333333
"Hawaii",2023,2.93333333333333
"Hawaii",2024,2.99
"Iowa",1976,4.08333333333333
"Iowa",1977,4.00833333333333
"Iowa",1978,3.84166666666667
"Iowa",1979,4.175
"Iowa",1980,5.93333333333333
"Iowa",1981,6.51666666666667
"Iowa",1982,8.4
"Iowa",1983,8.23333333333333
"Iowa",1984,7.025
"Iowa",1985,7.375
"Iowa",1986,6.76666666666667
"Iowa",1987,5.61666666666667
"Iowa",1988,4.64166666666667
"Iowa",1989,4.3
"Iowa",1990,4.44166666666667
"Iowa",1991,4.69166666666667
"Iowa",1992,4.48333333333333
"Iowa",1993,4.14166666666667
"Iowa",1994,3.6
"Iowa",1995,3.50833333333333
"Iowa",1996,3.58333333333333
"Iowa",1997,3.14166666666667
"Iowa",1998,2.84166666666667
"Iowa",1999,2.65833333333333
"Iowa",2000,2.68333333333333
"Iowa",2001,3.325
"Iowa",2002,4
"Iowa",2003,4.45
"Iowa",2004,4.525
"Iowa",2005,4.29166666666667
"Iowa",2006,3.7
"Iowa",2007,3.71666666666667
"Iowa",2008,4.18333333333333
"Iowa",2009,6.4
"Iowa",2010,6.11666666666667
"Iowa",2011,5.65
"Iowa",2012,5.05833333333333
"Iowa",2013,4.725
"Iowa",2014,4.225
"Iowa",2015,3.69166666666667
"Iowa",2016,3.575
